1973,1990,2007
Abbeville,SC,39,22459,23958,25457
Acadia,LA,17,51524,55741,59958
Accomack,VA,45,25121,31803,38485
Ada,ID,11,42038,207722,373406
Adair,IA,14,9170,8397,7624
Adair,KY,16,12944,15387,17830
Adair,MO,24,24526,24584,24642
Adair,OK,35,14986,18444,21902
Adams,CO,5,110763,266629,422495
Adams,IA,14,5594,4845,4096
Adams,ID,11,2968,3257,3546
Adams,IL,12,65172,66109,67046
Adams,IN,13,28676,31160,33644
Adams,MS,23,38878,35294,31710
Adams,ND,33,4035,3157,2279
Adams,NE,26,26288,29639,32990
Adams,OH,34,22662,25411,28160
Adams,PA,37,56815,78797,100779
Adams,WA,46,10290,13636,16982
Adams,WI,48,10717,15696,20675
Addison,VT,44,29540,33150,36760
Aiken,SC,39,91785,122046,152307
Aitkin,MN,22,9014,12462,15910
Alachua,FL,8,125364,182723,240082
Alamance,NC,32,72030,108695,145360
Alameda,CA,4,1148130,1306166,1464202
Alamosa,CO,5,11891,13602,15313
Albany,NY,31,286605,292956,299307
Albany,WY,49,29531,30879,32227
Albemarle,VA,45,43629,68373,93117
Alcona,MI,21,8800,10169,11538
Alcorn,MS,23,27973,31791,35609
Aleutians East,AK,1,2288,2477,2666
Aleutians West,AK,1,14374,9599,4824
Alexander,IL,12,12700,10579,8458
Alexander,NC,32,18908,27652,36396
Alexandria,VA,45,82958,111491,140024
Alfalfa,OK,35,7175,6384,5593
Alger,MI,21,8336,8974,9612
Allamakee,IA,14,13062,13836,14610
Allegan,MI,21,69203,90982,112761
Allegany,MD,19,77314,74954,72594
Allegany,NY,31,51407,50522,49637
Alleghany,NC,32,8329,9622,10915
Alleghany,VA,45,9225,12806,16387
Allegheny,PA,37,1454270,1336740,1219210
Allen,IN,13,253830,301659,349488
Allen,KS,15,15866,14640,13414
Allen,KY,16,10547,14723,18899
Allen,LA,17,16940,21232,25524
Allen,OH,34,114449,109841,105233
Allendale,SC,39,13019,11747,10475
Alpena,MI,21,31641,30674,29707
Alpine,CA,4,1067,1106,1145
Amador,CA,4,21926,30302,38678
Amelia,VA,45,4960,8823,12686
Amherst,VA,45,25165,28694,32223
Amite,MS,23,13179,13262,13345
Anchorage,AK,1,175557,227614,279671
Anderson,KS,15,7648,7778,7908
Anderson,KY,16,8099,14672,21245
Anderson,SC,39,111095,145538,179981
Anderson,TN,41,63341,68406,73471
Anderson,TX,42,39200,47980,56760
Andrew,MO,24,12528,14696,16864
Andrews,TX,42,15400,14270,13140
Androscoggin,ME,18,104009,105412,106815
Angelina,TX,42,57262,70037,82812
Anne Arundel,MD,19,345600,428877,512154
Anoka,MN,22,164258,245255,326252
Anson,NC,32,21794,23498,25202
Antelope,NE,26,9127,7942,6757
Antrim,MI,21,12217,18258,24299
Apache,AZ,2,53898,61939,69980
Appanoose,IA,14,14469,13744,13019
Appling,GA,9,13606,15776,17946
Appomattox,VA,45,10425,12312,14199
Aransas,TX,42,11005,17863,24721
Arapahoe,CO,5,242701,393895,545089
Archer,TX,42,6956,7980,9004
Archuleta,CO,5,2691,5382,12572
