1956,1973,1990,2007
Abbeville,SC,39,20960,22459,23958,25457
Acadia,LA,17,47307,51524,55741,59958
Accomack,VA,45,18439,25121,31803,38485
Ada,ID,11,21019,42038,207722,373406
Adair,IA,14,9943,9170,8397,7624
Adair,KY,16,10501,12944,15387,17830
Adair,MO,24,24468,24526,24584,24642
Adair,OK,35,11528,14986,18444,21902
Adams,CO,5,55381,110763,266629,422495
Adams,IA,14,6343,5594,4845,4096
Adams,ID,11,2679,2968,3257,3546
Adams,IL,12,64235,65172,66109,67046
Adams,IN,13,26192,28676,31160,33644
Adams,MS,23,42462,38878,35294,31710
Adams,ND,33,4913,4035,3157,2279
Adams,NE,26,22937,26288,29639,32990
Adams,OH,34,19913,22662,25411,28160
Adams,PA,37,34833,56815,78797,100779
Adams,WA,46,6944,10290,13636,16982
Adams,WI,48,5738,10717,15696,20675
Addison,VT,44,25930,29540,33150,36760
Aiken,SC,39,61524,91785,122046,152307
Aitkin,MN,22,5566,9014,12462,15910
Alachua,FL,8,68005,125364,182723,240082
Alamance,NC,32,35365,72030,108695,145360
Alameda,CA,4,990094,1148130,1306166,1464202
Alamosa,CO,5,10180,11891,13602,15313
Albany,NY,31,280254,286605,292956,299307
Albany,WY,49,28183,29531,30879,32227
Albemarle,VA,45,18885,43629,68373,93117
Alcona,MI,21,7431,8800,10169,11538
Alcorn,MS,23,24155,27973,31791,35609
Aleutians East,AK,1,2099,2288,2477,2666
Aleutians West,AK,1,19149,14374,9599,4824
Alexander,IL,12,14821,12700,10579,8458
Alexander,NC,32,10164,18908,27652,36396
Alexandria,VA,45,54425,82958,111491,140024
Alfalfa,OK,35,7966,7175,6384,5593
Alger,MI,21,7698,8336,8974,9612
Allamakee,IA,14,12288,13062,13836,14610
Allegan,MI,21,47424,69203,90982,112761
Allegany,MD,19,79674,77314,74954,72594
Allegany,NY,31,52292,51407,50522,49637
Alleghany,NC,32,7036,8329,9622,10915
Alleghany,VA,45,5644,9225,12806,16387
Allegheny,PA,37,1571800,1454270,1336740,1219210
Allen,IN,13,206001,253830,301659,349488
Allen,KS,15,17092,15866,14640,13414
Allen,KY,16,6371,10547,14723,18899
Allen,LA,17,12648,16940,21232,25524
Allen,OH,34,119057,114449,109841,105233
Allendale,SC,39,14291,13019,11747,10475
Alpena,MI,21,32608,31641,30674,29707
Alpine,CA,4,1028,1067,1106,1145
Amador,CA,4,13550,21926,30302,38678
Amelia,VA,45,1097,4960,8823,12686
Amherst,VA,45,21636,25165,28694,32223
Amite,MS,23,13096,13179,13262,13345
Anchorage,AK,1,123500,175557,227614,279671
Anderson,KS,15,7518,7648,7778,7908
Anderson,KY,16,1526,8099,14672,21245
Anderson,SC,39,76652,111095,145538,179981
Anderson,TN,41,58276,63341,68406,73471
Anderson,TX,42,30420,39200,47980,56760
Andrew,MO,24,10360,12528,14696,16864
Andrews,TX,42,16530,15400,14270,13140
Androscoggin,ME,18,102606,104009,105412,106815
Angelina,TX,42,44487,57262,70037,82812
Anne Arundel,MD,19,262323,345600,428877,512154
Anoka,MN,22,83261,164258,245255,326252
Anson,NC,32,20090,21794,23498,25202
Antelope,NE,26,10312,9127,7942,6757
Antrim,MI,21,6176,12217,18258,24299
Apache,AZ,2,45857,53898,61939,69980
Appanoose,IA,14,15194,14469,13744,13019
Appling,GA,9,11436,13606,15776,17946
Appomattox,VA,45,8538,10425,12312,14199
Aransas,TX,42,4147,11005,17863,24721
Arapahoe,CO,5,91507,242701,393895,545089
Archer,TX,42,5932,6956,7980,9004
Archuleta,CO,5,0,2691,5382,12572
Arenac,MI,21,11589,13262,14935,16608
Arkansas,AR,3,26214,23940,21666,19392
Arlington,VA,45,104356,137760,171164,204568
Armstrong,PA,37,82430,77973,73516,69059
Armstrong,TX,42,1912,1965,2018,2071
Aroostook,ME,18,116978,102001,87024,72047
Arthur,NE,26,692,580,468,356
Ascension,LA,17,8880,17760,58408,99056
Ashe,NC,32,15556,18881,22206,25531
Ashland,OH,34,32903,40236,47569,54902
Ashland,WI,48,16212,16240,16268,16296
Ashley,AR,3,28197,26240,24283,22326
Ashtabula,OH,34,97694,98843,99992,101141
